# loss,acc,val_loss,val_acc
8.608000000000000096e-01,6.987999999999999767e-01,8.256999999999999895e-01,7.095000000000000195e-01
8.505000000000000338e-01,7.002000000000000446e-01,8.179999999999999494e-01,7.113000000000000433e-01
8.453000000000000513e-01,7.029999999999999583e-01,8.343000000000000416e-01,7.090999999999999526e-01
8.499999999999999778e-01,6.989999999999999547e-01,8.314000000000000279e-01,7.113000000000000433e-01
8.453000000000000513e-01,7.042000000000000481e-01,8.090000000000000524e-01,7.167999999999999927e-01
8.391999999999999460e-01,7.060999999999999499e-01,8.091000000000000414e-01,7.133000000000000451e-01
8.380999999999999561e-01,7.033000000000000362e-01,8.171000000000000485e-01,7.133000000000000451e-01
8.357999999999999874e-01,7.074000000000000288e-01,8.116999999999999771e-01,7.147999999999999909e-01
8.376000000000000112e-01,7.076000000000000068e-01,8.184000000000000163e-01,7.130999999999999561e-01
8.325000000000000178e-01,7.086000000000000076e-01,8.037999999999999590e-01,7.119999999999999662e-01
8.324000000000000288e-01,7.078999999999999737e-01,8.098999999999999533e-01,7.174000000000000377e-01
8.282000000000000473e-01,7.075000000000000178e-01,8.074999999999999956e-01,7.143000000000000460e-01
8.231000000000000538e-01,7.114000000000000323e-01,8.132000000000000339e-01,7.131999999999999451e-01
8.309999999999999609e-01,7.088999999999999746e-01,7.994999999999999885e-01,7.226000000000000201e-01
8.156999999999999806e-01,7.135000000000000231e-01,8.086999999999999744e-01,7.161999999999999478e-01
8.198999999999999622e-01,7.130999999999999561e-01,7.964999999999999858e-01,7.231999999999999540e-01
8.094999999999999973e-01,7.145000000000000240e-01,7.799000000000000377e-01,7.244000000000000439e-01
8.131000000000000449e-01,7.150999999999999579e-01,7.839000000000000412e-01,7.262999999999999456e-01
8.047999999999999599e-01,7.191999999999999504e-01,8.003000000000000114e-01,7.184000000000000385e-01
8.075999999999999845e-01,7.170999999999999597e-01,7.829000000000000403e-01,7.260999999999999677e-01
8.117999999999999661e-01,7.157999999999999918e-01,7.778000000000000469e-01,7.278000000000000025e-01
7.957999999999999519e-01,7.191999999999999504e-01,7.830000000000000293e-01,7.248999999999999888e-01
8.041000000000000369e-01,7.193000000000000504e-01,7.760000000000000231e-01,7.298000000000000043e-01
7.994999999999999885e-01,7.185000000000000275e-01,7.931000000000000272e-01,7.227999999999999980e-01
7.953000000000000069e-01,7.227999999999999980e-01,7.618000000000000327e-01,7.328999999999999959e-01
